temp_1,temp_2,temp_3,temp_4,temp_5,action_1,action_2,action_3,action_4,action_5,phase,reward,timestep
198.06186871855675,217.50021964983657,231.54982391940155,230.2618285205456,236.2689541990134,1,0,1,1,0,warmup,,0
198.4954934861339,216.29603894957552,232.58828569720126,231.6181115177479,235.14729484838782,2,0,1,1,0,warmup,,1
198.8605461319914,215.0614313345665,233.54421246084084,232.87708604416636,233.99753724489764,1,0,2,1,0,warmup,,2
199.29312395543855,214.06513872738077,234.2162715781873,234.169873209635,233.0660308152338,2,0,1,1,0,warmup,,3
199.90012739707277,212.9691801635848,234.8172386444363,235.2098828868764,232.0430519355494,1,0,2,1,0,warmup,,4
200.700852505856,211.87445195365038,235.1966540877512,236.16723772090018,231.02099714806556,1,0,1,2,0,warmup,,5
201.56882492201194,210.7809447270699,235.74601971772165,236.84059211371655,229.99984910001282,1,0,2,1,0,warmup,,6
202.64560649993211,209.6887053413616,236.51408027345772,237.44269979349306,228.97955055140008,1,0,1,2,0,warmup,,7
203.69226182428648,208.59781672789242,237.30870693954517,237.82321552569394,227.9600867772424,1,0,3,1,0,warmup,,8
204.76712105024532,207.50827896361707,237.75621922397983,238.37366300496902,226.94141287809515,1,0,1,2,0,warmup,,9
205.8410096094112,206.42002601261805,237.88493632603223,239.14277380313533,225.92356178046293,1,0,0,1,0,warmup,,10
206.88477342687452,205.3885262943995,237.3912195513361,239.93836957901425,224.9065767889836,1,0,0,3,0,warmup,,11
207.9567560351225,204.20257310418233,236.51597794064241,240.38669027166296,223.89046409361174,1,0,0,1,0,warmup,,12
208.77663626651923,203.10506425988436,235.1881483307735,240.51594539230211,222.87515133772138,1,0,0,0,0,warmup,,13
209.55145162804013,201.97663646075884,233.84005405786468,240.0223600390015,221.86057452941034,2,0,0,0,0,warmup,,14
210.27366881304707,201.06751951134987,232.48953611939677,239.14682706253384,220.84660993199915,1,0,0,0,0,warmup,,15
210.8412670330866,200.26210158890532,231.38919846255288,237.81837873623925,219.83318098970264,2,3,0,0,0,warmup,,16
211.14231372480597,199.70869534208597,230.17856406822838,236.46943577231772,218.8201941956016,1,0,0,0,0,warmup,,17
211.10434272642755,199.19683380162587,228.96863836920963,235.11795216858454,217.8076472844396,0,3,0,0,0,warmup,,18
210.70828110496421,198.85991504913076,227.75942962073026,234.0165604542992,216.79553875908144,0,0,0,0,0,warmup,,19
209.96725183078445,198.24772713360483,226.55102149621385,232.80485691491464,215.78391961963618,0,2,0,0,0,warmup,,20
208.92082860526438,197.711351848563,225.34333646520292,231.59379980997028,214.772765016337,0,0,0,0,0,warmup,,21
207.7201740608658,197.0996186761028,224.1363885199856,230.444474223169,213.76207453823974,0,2,0,0,0,warmup,,22
206.57114271518392,196.59789804005024,222.93017413159933,229.1246991185234,212.751865263344,0,0,0,0,0,warmup,,23
205.610854907531,196.15514972537406,221.72468143463487,227.90174030890472,211.7420971469629,0,1,0,0,0,warmup,,24
204.76840404272818,196.10855608648774,220.51994099749518,226.64445295922064,210.73279113855835,0,0,0,0,0,warmup,,25
203.99455933255138,196.34413861195105,219.31602309778518,225.62810584266606,209.72393939687112,3,1,0,0,0,warmup,,26
203.45714885928678,197.03289240160433,218.17411959400826,224.725538000945,208.71559294627468,0,1,0,3,0,warmup,,27
202.97903940086798,197.94270899602458,216.8621595889306,224.0998847436591,207.70776968659513,3,1,0,0,0,warmup,,28
202.5932311903698,199.11089423485475,215.64750920760838,223.51968214735507,206.70052603096224,0,1,0,3,0,warmup,,29
202.2322814053005,200.27552019185856,214.39908355164215,223.13176229379027,205.69387444048266,3,1,0,0,0,warmup,,30
201.80246962648144,201.59727813753784,213.40350020140167,222.4409639501663,204.7387532671851,0,1,0,2,0,warmup,,31
201.25804432570402,202.5798401948623,212.49057224235483,221.83361403347817,203.6416282792028,2,1,3,0,0,warmup,,32
200.67520466789387,203.81749930108145,211.86155200348034,221.0326200728152,202.6252099578938,0,1,0,2,0,warmup,,33
199.85434914101063,204.96646447875642,211.30373224545784,220.55250332541442,201.58018804845472,0,1,3,0,0,warmup,,34
